date,uWN_ls,cWN_ls,uWN_long,cWN_long,spy
2017-03-15,-0.0012275261,-0.0008647891,-0.0045799036,-0.004561042,0.008615831762193665
2017-03-16,0.0059740003,-0.00042442465,0.006842359,0.006918905,-0.0019687441670725196
2017-03-17,0.004367222,0.0037252717,0.006658291,0.005456432,-0.0017574614841355724
2017-03-20,-0.0017163898,-0.0051161996,-0.012531247,-0.020966861,-0.001097698620173058
2017-03-21,-0.0026915013,9.243656e-05,0.0036602644,0.00429591,-0.012922365308483142
2017-03-22,0.00088451686,0.0012834064,-0.0020570746,-0.0020506547,0.002350019525750483
2017-03-23,-0.0029629418,-0.0015496514,-0.0029623895,-0.001810428,-0.001067355743322516
2017-03-24,0.00026840006,-0.00029230368,0.0011276741,0.0011588682,-0.0007267511603431449
2017-03-27,0.0023112055,0.004838995,0.007829462,0.011990123,-0.0010268661897532892
2017-03-28,-0.0016933767,-0.00011966808,-0.0034251523,0.0022208765,0.007250744835220855
2017-03-29,0.00080402126,0.0013378137,0.0048808,0.004461597,0.0009342130219335205
2017-03-30,0.002358599,0.0021242846,0.0018188983,0.0032845149,0.003179001652103961
2017-03-31,-0.0032843624,-0.00425951,-0.006283167,-0.008200063,-0.0023301548345543207
2017-04-03,-0.0025373858,-0.00034964515,-0.0028881466,0.0019069933,-0.0017406616434712575
2017-04-04,-0.00076195784,-0.0025231147,-0.0035452044,-0.005060951,0.0006371024114091152
2017-04-05,-0.0035274278,-0.00039383292,-0.008486528,0.0026838083,-0.0029772230395941003
2017-05-04,-0.00028413837,-0.0016031421,0.0055048927,-0.001766716,0.0011736331039565995
2017-05-05,-0.0043721823,-0.0011951288,-0.008614945,-0.00096204877,0.003928987672871543
2017-05-08,0.0024678113,-0.0031149385,0.0035246594,0.00080724765,-0.00016673158665011145
2017-05-09,0.0027099918,0.0028482822,0.0031899347,0.0031219476,-0.0009182191396857778
2017-05-10,0.002215208,0.004348407,0.0020823018,0.007175965,0.0017940752910670182
2017-05-11,-0.000719213,0.0017209623,0.0017381877,0.0021445318,-0.0020448589361427845
2017-05-12,3.1017466e-05,-0.00032097276,0.006014439,0.0038890524,-0.0016723465665223136
2017-05-15,0.006145345,0.005481944,0.012819784,0.013408426,0.005508360764046646
2017-05-16,-0.005157464,-0.010394268,-0.029157171,-0.031825516,-0.0009160655627448461
2017-05-17,-0.0025926516,-0.0089018475,-0.0008414646,-0.004839449,-0.017903389093589534
2017-05-18,-0.0052896356,-0.0019596077,0.0058133397,0.003397856,0.004020386057539954
2017-05-19,-0.0019450056,-0.001934328,0.0008829555,0.0019184144,0.006483056385815619
2017-05-22,0.000514593,0.0022358936,0.0034589241,0.0010812846,0.005064964095652283
2017-05-23,-0.0014946845,-0.0008722532,-0.00030756474,-0.0004967444,0.0022099328387273826
2017-05-24,0.0022721337,0.0007847126,0.0105091855,0.0071179518,0.002330346034891774
2017-05-25,0.0006350241,0.00095287315,0.0012425102,0.00025412362,0.004767843495503459
2017-05-26,-0.0018828303,-0.0008549462,-0.0033877834,-0.0011107462,-0.00020644253651430375
2017-05-30,-0.0025625294,-0.0010205626,-0.000834394,0.000514374,-0.0008694042485071148
2017-05-31,-0.0032657979,-1.661107e-05,0.0010683103,0.010018066,-0.0002487899921427483
2017-06-01,0.0019280706,0.0018445575,0.00801404,0.00865195,0.007921121715197557
2017-06-02,-0.0028306826,0.002861476,-0.0062777596,0.0017655934,0.0033227874104591612
2017-06-05,0.009269003,0.0058589596,0.014175281,0.008013166,-0.0007375958912533411
2017-06-06,-0.00029462687,0.0013202552,0.0014698753,0.004878089,-0.0032015859223435655
2017-06-07,0.0065208,0.0022901252,0.013140387,0.007350084,0.0018484778637285436
2017-06-08,-0.014157375,0.00018963777,-0.026677823,-0.013174835,0.0004921921011666383
2017-06-09,0.004373848,-0.0018129696,0.0012677577,-0.005301088,-0.0015187264805514625
2017-06-12,0.0022617783,-0.0026164972,0.012532002,0.004919843,-0.00020554908120604253
2017-06-13,-0.0052936086,0.0002032267,-0.009648349,-0.007415361,0.0048780220357888225
