feature,train_mean,train_std,train_min,train_p01,train_p50,train_p99,train_max,val_mean,val_std,val_min,val_p01,val_p50,val_p99,val_max
price_to_sma50,0.024453352325566162,0.0641399650972926,-0.5229420562656187,-0.14488148890539243,0.025240058825950706,0.1995547811415026,0.9486940754477968,0.02735532165490065,0.055480946255531516,-0.3877140185683726,-0.1011839444870124,0.027270524822183173,0.18051809953348807,0.46299942701303043
price_to_sma200,0.07709150445635725,0.1293828883603419,-0.7277306347676147,-0.2559612802023369,0.0767708866234984,0.4217163981686103,1.857483083511343,0.10796702423784295,0.12215727257411108,-0.34646423782958025,-0.1462712777901426,0.09630016744408998,0.4775004432633161,1.2016474807890445
sma20_to_sma50,0.014258750306362034,0.03858005516062874,-0.32662601474688535,-0.09093413808330386,0.015471358370201083,0.11653860460638965,0.4078583575409189,0.016310792716653616,0.03257247156629248,-0.27641366026358627,-0.06281177998079968,0.016838044227498683,0.1038708472363663,0.21220094158066827
sma50_to_sma200,0.0506366161016237,0.09968312963845656,-0.5948811289676781,-0.2321045774496433,0.05563234891710911,0.2959654179024849,0.9414599069074827,0.07715665370787933,0.08653687461360471,-0.2462553088999907,-0.11592396568382923,0.07012033564473552,0.3359970147279694,0.8387040642099393
ema12_to_ema26,0.006273429387074437,0.017742233546104193,-0.17755437290423304,-0.04363141479030186,0.007061286117078458,0.05115730456796719,0.17979200158962705,0.007353571161396153,0.015305573300303833,-0.14231916287343305,-0.031052313897890316,0.0077148050535047474,0.04782593552753944,0.10548000606724806
price_to_ema20,0.009064365865494013,0.03427736816027134,-0.3492785269560582,-0.08258827729996787,0.009887503916224727,0.10002521899849537,0.568174247545111,0.010131125752850663,0.02999626576420471,-0.33215860990770807,-0.0668978583008879,0.010601302491791254,0.09270637602097209,0.29926087871371054
slope_20d,0.0008338725145138924,0.003894702188427805,-0.057561124721486535,-0.01036643392800874,0.0010187435858543443,0.010456314285335437,0.03066545652104838,0.001000790344538923,0.003475299966019249,-0.048272846704603564,-0.00849715471022086,0.0011614392826222399,0.00976681922460887,0.019238178113249932
realized_vol_5d,0.2275002921051769,0.16252923120286222,0.0,0.041736471845166226,0.1880939447705099,0.8130532281829604,3.5711666528076322,0.19715055016218958,0.13652773403462656,0.0,0.039465321177789725,0.16541896536909098,0.7096907973016948,2.5228432610666056
realized_vol_20d,0.2485320962127997,0.1356979556128949,0.0,0.08494190534267114,0.21418446052965365,0.7439250289551372,1.7619085275409931,0.21606019588241424,0.10492348180250918,0.03052151262222974,0.09249476896219583,0.18920494300519133,0.6161586698866471,1.3116546139475522
realized_vol_60d,0.2648597909525319,0.13033287927946105,0.061018189860825675,0.10399653043459316,0.2293728418332201,0.7134934569148387,1.1765515082593823,0.2184876949006099,0.08540965828850691,0.09038563467165557,0.11416103722910878,0.19762632163934835,0.5365158806110646,0.8250398851486609
