date,uWN_ls,cWN_ls,LSTM_ls,uWN_long,cWN_long,LSTM_long,spy
2019-12-06,-0.00025319913,0.0018169676,0.0005252238,-0.0025294651,-0.00022640817,-0.00020787316,0.00909273290786968
2019-12-09,-0.0010591154,-0.0009154366,-0.001344954,-0.0013577273,-0.0015070285,-0.002457737,-0.003149202429235935
2019-12-10,-0.0015510467,0.0012633387,-0.0018118029,0.0017244103,0.0042373734,0.0014627062,-0.0011158385550795757
2019-12-11,-0.0004916217,-0.00063934433,-0.005312169,0.00633291,0.0074816304,0.0035952097,0.0028348146560077214
2019-12-12,-0.00047361082,-0.002716218,0.003058868,-0.0026499215,-0.0056949216,0.0012192576,0.008582051517394888
2019-12-13,0.0016879812,0.0018568558,-0.0014619292,0.008994138,0.009272271,0.0050286343,0.0005988562247572787
2019-12-16,-0.002755469,-0.0026441657,-0.0014056626,-0.0018798518,-0.0014992639,-0.00048906304,0.006847066133339486
2019-12-17,-0.00041599857,0.00010587688,-0.00274812,0.000919946,0.00106406,-0.0006969026,0.0002186547824637897
2019-12-18,-0.00023907656,0.0012750633,0.0008055768,0.0043190685,0.0066252225,0.0061006974,6.289902886069912e-05
2019-12-19,-0.00077970885,0.000521088,-0.0010529247,0.0057071676,0.0075667533,0.0066910186,0.004090431408829726
2019-12-20,-0.00076564413,0.00016565133,-0.0024492752,-0.00066992553,-0.0002742786,-0.0014746104,0.004374819219811498
2019-12-23,2.8614653e-05,0.0001435276,0.0006090475,0.0007374208,0.00083403726,0.00067799696,0.0015264579948329555
2019-12-24,-0.0006513135,-0.0007392678,-5.747017e-05,0.0017354559,0.0022740255,0.0027749396,3.0979446387221155e-05
2019-12-26,0.0010379053,-0.00079625373,0.0009275359,-0.0009372856,-0.0020191558,-0.00012784137,0.00530916976930464
2019-12-27,0.000744433,-0.0009621236,-0.00022976473,-0.0035670905,-0.00552376,-0.0050583794,-0.00024779100548230664
2019-12-30,0.0007135619,-0.0010606134,-6.286823e-05,0.0048306105,0.0026809955,0.004250208,-0.005528251355080236
2019-12-31,0.0019474837,-0.0016572361,0.0012733231,0.005641803,0.0046451367,0.007380294,0.0024258794824211435
2020-01-02,-0.004534279,-0.001015475,-0.0040718145,-0.008189484,-0.0063788714,-0.008563785,0.00930861108696972
2020-01-03,2.2989e-05,0.0013780481,0.0006916026,0.0019789485,0.0021608623,0.0015979563,-0.007601053477143704
2020-01-06,0.0034033493,0.0011725167,-0.003351814,0.004502302,0.0032502532,-0.002043801,0.0038077487229314314
2020-01-07,-0.000142014,0.0021041825,0.0011762396,0.0031143993,0.0043213633,0.0020113431,-0.002815674108949414
2020-02-20,-0.0013975366,0.00063211843,0.00073348917,-0.013012856,-0.01080905,-0.011278163,-0.00411671650039117
2020-02-21,-0.0071197944,-0.007131002,-0.0033450397,-0.040309865,-0.03828279,-0.034725778,-0.0103515313041042
2020-02-24,-0.0062084654,-0.0041958205,-0.004662865,-0.03702891,-0.035853684,-0.036054812,-0.033727800482336166
2020-02-25,-0.007582402,-0.008491797,-0.0062600337,-0.018692357,-0.02141016,-0.01693479,-0.03077061970484208
2020-02-26,0.00059182756,0.0014943089,0.0044118296,-0.036965635,-0.039434113,-0.03374517,-0.0036851809884793445
2020-02-27,0.009656736,0.015089281,0.011148289,0.00046253874,0.004152119,0.00013551177,-0.04595137625457812
2020-02-28,0.006170691,-0.00032520294,-0.0038676187,0.04250619,0.034933917,0.03377418,-0.004210613996513152
